TIME,Aircraft.state.pos_ENU[0],Aircraft.state.pos_ENU[1],Aircraft.state.pos_ENU[2],Aircraft.state.pos_mag,Aircraft.state.vel_ENU[0],Aircraft.state.vel_ENU[1],Aircraft.state.vel_ENU[2],Aircraft.state.vel_mag,Aircraft.state.acc_ENU[0],Aircraft.state.acc_ENU[1],Aircraft.state.acc_ENU[2],Aircraft.state.acc_mag,Aircraft.forces.lift_ENU[0],Aircraft.forces.lift_ENU[1],Aircraft.forces.lift_ENU[2],Aircraft.forces.lift_mag,Aircraft.forces.weight_ENU[0],Aircraft.forces.weight_ENU[1],Aircraft.forces.weight_ENU[2],Aircraft.forces.weight_mag,Aircraft.forces.drag_ENU[0],Aircraft.forces.drag_ENU[1],Aircraft.forces.drag_ENU[2],Aircraft.forces.drag_mag,Aircraft.forces.thrust_ENU[0],Aircraft.forces.thrust_ENU[1],Aircraft.forces.thrust_ENU[2],Aircraft.forces.thrust_mag,Aircraft.forces.net_force_ENU[0],Aircraft.forces.net_force_ENU[1],Aircraft.forces.net_force_ENU[2],Aircraft.forces.net_force_mag,Atmosphere.rho
44.0,11475.6565989,0.0,10152.8095038,15322.2137824,259.988869874,0.0,3.35407905574,260.01050422,0.00258760274672,0.0,-0.100801247742,0.100834454599,0.0,0.0,341588.205265,341588.205265,0.0,0.0,-343350.0,343350.0,-136909.433904,-0.0,-1766.24893602,526.597288455,137000,0,0,137000,90.5660961352,0.0,-3528.04367096,0,0.405578861446
46.0,11995.644689,0.0,10159.1144569,15719.5132893,259.994045079,0.0,3.15247656026,260.013156562,0.00562649842422,0.0,-0.105217605818,0.105367936578,0.0,0.0,341326.146709,341326.146709,0.0,0.0,-343350.0,343350.0,-136803.072555,-0.0,-1658.76291309,526.177715007,137000,0,0,137000,196.927444848,0.0,-3682.61620364,0,0.40525157712
48.0,12515.6552852,0.0,10164.9985396,16123.5486952,260.005298076,0.0,2.94204134862,260.021942603,0.00829239830208,0.0,-0.108580893934,0.108897081674,0.0,0.0,341096.582516,341096.582516,0.0,0.0,-343350.0,343350.0,-136709.766059,-0.0,-1546.91380323,525.796078276,137000,0,0,137000,290.233940573,0.0,-3800.33128769,0,0.404943964762
50.0,13035.6990509,0.0,10170.4482987,16533.8280003,260.021882873,0.0,2.72487956075,260.036160065,0.0105990830564,0.0,-0.110958308828,0.111463387978,0.0,0.0,340898.252749,340898.252749,0.0,0.0,-343350.0,343350.0,-136629.032093,-0.0,-1431.79355846,525.452052664,137000,0,0,137000,370.967906976,0.0,-3883.54080898,0,0.404656886251
52.0,13555.785213,0.0,10175.4542246,16949.9021064,260.043081039,0.0,2.5029629431,260.055126501,0.0125614831014,0.0,-0.112417469024,0.113117099501,0.0,0.0,340729.807293,340729.807293,0.0,0.0,-343350.0,343350.0,-136560.348091,-0.0,-1314.41870864,525.145093444,137000,0,0,137000,439.651908549,0.0,-3934.61141586,0,0.404390997954
54.0,14075.921621,0.0,10180.0104806,17371.3609964,260.068204005,0.0,2.27812800505,260.07818171,0.0141954972854,0.0,-0.113025992687,0.113913946319,0.0,0.0,340589.821458,340589.821458,0.0,0.0,-343350.0,343350.0,-136503.157595,-0.0,-1195.73120168,524.874457903,137000,0,0,137000,496.842404988,0.0,-3955.90974404,0,0.404146763836
56.0,14596.114811,0.0,10184.1146327,17797.8301606,260.096595,0.0,2.05207601967,260.104689974,0.0155178191469,0.0,-0.11285111057,0.11391301887,0.0,0.0,340476.810705,340476.810705,0.0,0.0,-343350.0,343350.0,-136456.87633,-0.0,-1076.599575,524.639226169,137000,0,0,137000,543.123670142,0.0,-3949.78886996,0,0.403924468661
58.0,15116.3700723,0.0,10187.7673803,18228.9672872,260.127630638,0.0,1.82637379853,260.134042106,0.0165457711781,0.0,-0.111959312302,0.113175307179,0.0,0.0,340389.244479,340389.244479,0.0,0.0,-343350.0,343350.0,-136420.898009,-0.0,-957.820409484,524.438321582,137000,0,0,137000,579.101991233,0.0,-3918.57593057,0,0.403724231187
60.0,15636.6915166,0.0,10190.9722906,18664.4592157,260.16072218,0.0,1.60245517393,260.16565728,0.0172971474861,0.0,-0.110416024403,0.111762649199,0.0,0.0,340325.55917,340325.55917,0.0,0.0,-343350.0,343350.0,-136394.599838,-0.0,-840.120024171,524.27053052,137000,0,0,137000,605.400162015,0.0,-3864.56085409,0,0.403546017285
62.0,16157.0821496,0.0,10193.7355369,19104.0191526,260.195316475,0.0,1.38162312512,260.198984622,0.0177900651863,0.0,-0.108285318632,0.109736942962,0.0,0.0,340284.170224,340284.170224,0.0,0.0,-343350.0,343350.0,-136377.347718,-0.0,-724.156375693,524.134521582,137000,0,0,137000,622.652281522,0.0,-3789.98615212,0,0.403389652914
